id,image_url,tags,created_at,status,name
33,https://mbqcfqpgipmtmipuvzlc.supabase.co/storage/v1/object/public/closet-images/45d38fee-9912-409b-ad3c-6c57e0498551.JPEG,"[""⚪ Silver"",""👟 Sneakers"",""🎾 Mesh"",""⬛ Solid"",""🎽 Casual"",""🕶 Streetwear"",""👟 Sporty""]",2024-12-12 20:54:18.485546+00,,Grey Sneakers
34,https://mbqcfqpgipmtmipuvzlc.supabase.co/storage/v1/object/public/closet-images/9abdf899-0fac-4cfc-93fb-150e4894d82b.JPEG,"[""🔵 Blue"",""👖 Jeans"",""👖 Denim"",""⬛ Solid"",""🎽 Casual"",""🤵 Formal"",""💼 Work"",""🎯 Regular Fit""]",2024-12-12 20:54:54.141259+00,,Dark Blue Jeans
35,https://mbqcfqpgipmtmipuvzlc.supabase.co/storage/v1/object/public/closet-images/d635ab3d-a170-41e1-9d2b-2cb40c92dd1a.JPEG,"[""🟢 Green"",""👕 T-shirt"",""🧵 Polyester"",""🌸 Print"",""🎽 Casual"",""👟 Sporty"",""🎯 Regular Fit""]",2024-12-12 20:55:33.879936+00,,Pasta Shirt
36,https://mbqcfqpgipmtmipuvzlc.supabase.co/storage/v1/object/public/closet-images/eabd74a7-65fc-4113-80ce-6a401df80a08.JPEG,"[""🟤 Brown"",""🧥 Puffer"",""⬛ Solid"",""🎽 Casual"",""👟 Sporty"",""💼 Work"",""🎯 Regular Fit""]",2024-12-20 20:56:08.434573+00,,Brown Puffer
37,https://mbqcfqpgipmtmipuvzlc.supabase.co/storage/v1/object/public/closet-images/d20e3df5-ee33-47a5-bda0-ebcc001703a0.JPEG,"[""⚫ Black"",""👗 Long Skirt"",""🎾 Mesh"",""⬛ Solid"",""💼 Work"",""🤵 Formal"",""🎉 Party"",""🎯 Regular Fit""]",2024-12-20 20:56:47.840056+00,,Black Skirt
38,https://mbqcfqpgipmtmipuvzlc.supabase.co/storage/v1/object/public/closet-images/05df955b-5207-403e-8a00-775fe171a3f3.JPEG,"[""🔴 Red"",""👟 Sneakers"",""Suede"",""➖ Striped"",""🎽 Casual"",""👟 Sporty"",""💼 Work""]",2024-12-20 20:57:23.538268+00,,Adidas Sneakers
39,https://mbqcfqpgipmtmipuvzlc.supabase.co/storage/v1/object/public/closet-images/473e60d3-4487-4bfc-84ae-c8d2a8f59914.JPEG,"[""⚫ Black"",""👢 Boots"",""👜 Leather"",""⬛ Solid"",""🤵 Formal"",""💼 Work"",""🎉 Party""]",2024-12-23 03:25:07.713749+00,,Black Boots
40,https://mbqcfqpgipmtmipuvzlc.supabase.co/storage/v1/object/public/closet-images/a25cb1b7-e29c-4223-b401-1d04312a15a9.JPEG,"[""🟤 Brown"",""🧣 Cardigan"",""🧶 Wool"",""🌸 Festive"",""🎽 Casual"",""💼 Work"",""🎯 Regular Fit""]",2024-12-23 03:52:11.16658+00,,Christmas Cardigan
41,https://mbqcfqpgipmtmipuvzlc.supabase.co/storage/v1/object/public/closet-images/10da8245-86e7-479c-8bf4-1c17b0fb85d9.JPEG,"[""⚪ Silver"",""👖 Joggers"",""🧵 Polyester"",""➖ Striped"",""🎽 Casual"",""🕶 Streetwear"",""👟 Sporty"",""📦 Baggy""]",2024-12-24 03:52:54.488787+00,,Grey Joggers
42,https://mbqcfqpgipmtmipuvzlc.supabase.co/storage/v1/object/public/closet-images/d7b52021-28f9-4fa3-ad1d-1a59178d1027.JPEG,"[""🔵 Blue"",""👚 Hoodie"",""🧵 Cotton"",""⬛ Solid"",""🎽 Casual"",""👟 Sporty"",""💼 Work"",""🎯 Regular Fit""]",2024-12-25 03:53:34.978824+00,,Deseng Hoodie
