id,created_at,temp,feels_like,weather,pop
02f51a5e-b0e9-437a-97e1-7c605d2c594f,2024-12-25 12:18:25.06801+00,8.88,7.22,scattered clouds,0
076210ef-cad8-4d4f-8fd3-c808ec6453ec,2024-12-02 20:18:09.625942+00,8.19,6.28,overcast clouds,0
07d44544-35b7-4d99-b350-3c840ad9aba5,2024-12-25 22:06:47.074329+00,8.01,7.57,overcast clouds,0
08bc5b24-b966-4972-b905-9bdb9842f8c0,2024-12-26 00:45:18.51542+00,8.07,7.64,overcast clouds,0
09600a25-5f12-4b88-a44f-df2db418e037,2024-12-01 09:03:47.225647+00,12.34,11.95,overcast clouds,0
0d945307-189c-4e3e-8389-dd062d694e6a,2024-12-26 22:09:11.284287+00,3.62,3.62,scattered clouds,0
0f5e477c-1922-4fd9-8033-df2fd9bf3422,2024-12-20 21:40:26.445734+00,5.75,4.01,broken clouds,0
10d780d8-4ab7-48b4-a53a-70784fbd2635,2024-12-24 19:07:37.695689+00,9.67,9.67,overcast clouds,0
12e05ffd-1996-4989-84ae-b0f25b05f796,2024-12-01 14:00:50.127026+00,12.76,12.47,overcast clouds,0
138d26e5-6a6c-4aab-8bcf-96437baed0e0,2024-12-03 22:51:23.222289+00,3.95,1.9,broken clouds,0
18a38f59-8ee6-4ffb-867e-16bde972651a,2024-12-24 16:59:29.751332+00,10.2,9.83,overcast clouds,0
18a886b6-e161-4171-bef0-f9be746e78df,2024-12-24 21:09:00.514594+00,10.24,9.83,overcast clouds,0
19144647-0219-4a4c-9e53-cd9d1000a746,2024-12-25 19:08:04.111295+00,8.14,7.72,overcast clouds,0
199cffdc-ca20-46ca-bd4a-3c1cf0e6fd11,2024-12-24 08:13:30.560721+00,9.57,8.19,overcast clouds,0
1dfd5e1a-36c1-4680-85ba-0dcf12028580,2024-12-26 02:11:08.940601+00,7.44,7.44,overcast clouds,0
1eb07f8d-4c5f-4352-8d71-745310c00d2f,2024-12-26 10:10:18.676734+00,5.22,5.22,clear sky,0
2051d717-e114-4944-9697-d170ac65cb79,2024-12-25 18:12:46.934166+00,8.1,8.1,overcast clouds,0
24fa44f3-7f58-402e-ac08-9680b00c5d08,2024-11-30 01:51:17.691602+00,9.38,9.12,overcast clouds,0
25566b6a-4c32-4c7a-9f87-ae6f061780c7,2024-12-26 21:08:55.479961+00,4.53,3.49,few clouds,0
26e482ad-8adf-4a16-bb8b-7212d5782e72,2024-12-12 17:17:55.80098+00,7.87,7.17,light intensity drizzle,0
289ed449-ff26-4cd1-ba11-815596bafcd8,2024-12-24 16:10:54.724839+00,10.2,9.81,overcast clouds,0
2a59d793-f211-44ab-9e7e-8aff35b60bf6,2024-12-24 06:14:23.177085+00,8.58,7.01,overcast clouds,0
2b8d33e7-2b8f-4731-976c-ce99f3a22fbe,2024-12-26 02:21:18.091741+00,7.49,7.49,overcast clouds,0
2bac6b32-da5f-415f-80b2-fa1269694a62,2024-12-24 16:38:36.201412+00,10.82,10.44,overcast clouds,0
2bd5b445-2d3b-4714-8189-878130c605c9,2024-12-01 16:51:14.766951+00,12.32,11.91,broken clouds,0
2d9b1ff7-823a-4e39-9724-299eb11b7610,2024-12-02 05:32:39.037207+00,10.84,10.23,broken clouds,0
3065f764-58e2-455a-973e-c2d51d0af551,2024-12-25 09:10:15.492304+00,7.44,6.41,few clouds,0
323e9164-9f4e-43c7-bf38-ed8fce306ae3,2024-12-24 12:18:20.269107+00,10.71,10.4,overcast clouds,0
33582c09-49d0-400a-b03f-cab0f8eb3cbd,2024-12-01 07:03:10.942387+00,11.71,11.29,broken clouds,0
338b6d18-334c-4d9e-a594-315d4e681836,2024-12-24 10:10:29.460367+00,9.53,8.45,broken clouds,0
35eab653-4936-40d9-b2ca-1830cf195792,2024-12-25 23:09:24.264311+00,7.96,7.51,overcast clouds,0
3665d162-6493-4580-9c33-617f6c67b310,2024-12-07 22:51:19.530786+00,7.18,3.09,overcast clouds,0
372c3bfe-315d-4bda-b388-9ed58a2f3c0f,2024-12-10 16:51:06.492419+00,6.94,3.93,overcast clouds,0
